Data;Data;Casos;Casos_por_dia;Obitos_por_dia;;;
25/05/2020;2020-5-25;83625;1464;57;;;"INSERT INTO dados_estado_sp VALUES('2020-5-25', 83625, 1464, 57);"
26/05/2020;2020-5-26;86017;2392;203;;;"INSERT INTO dados_estado_sp VALUES('2020-5-26', 86017, 2392, 203);"
27/05/2020;2020-5-27;89483;3466;289;;;"INSERT INTO dados_estado_sp VALUES('2020-5-27', 89483, 3466, 289);"
28/05/2020;2020-5-28;95865;6382;268;;;"INSERT INTO dados_estado_sp VALUES('2020-5-28', 95865, 6382, 268);"
29/05/2020;2020-5-29;101556;5691;295;;;"INSERT INTO dados_estado_sp VALUES('2020-5-29', 101556, 5691, 295);"
30/05/2020;2020-5-30;107142;5586;257;;;"INSERT INTO dados_estado_sp VALUES('2020-5-30', 107142, 5586, 257);"
31/05/2020;2020-5-31;109698;2556;83;;;"INSERT INTO dados_estado_sp VALUES('2020-5-31', 109698, 2556, 83);"
01/06/2020;2020-6-1;111296;1598;52;;;"INSERT INTO dados_estado_sp VALUES('2020-6-1', 111296, 1598, 52);"
02/06/2020;2020-6-2;118295;6999;327;;;"INSERT INTO dados_estado_sp VALUES('2020-6-2', 118295, 6999, 327);"
03/06/2020;2020-6-3;123483;5188;282;;;"INSERT INTO dados_estado_sp VALUES('2020-6-3', 123483, 5188, 282);"
04/06/2020;2020-6-4;129200;5717;285;;;"INSERT INTO dados_estado_sp VALUES('2020-6-4', 129200, 5717, 285);"
05/06/2020;2020-6-5;134565;5365;281;;;"INSERT INTO dados_estado_sp VALUES('2020-6-5', 134565, 5365, 281);"
06/06/2020;2020-6-6;140549;5984;216;;;"INSERT INTO dados_estado_sp VALUES('2020-6-6', 140549, 5984, 216);"
07/06/2020;2020-6-7;143073;2524;87;;;"INSERT INTO dados_estado_sp VALUES('2020-6-7', 143073, 2524, 87);"
08/06/2020;2020-6-8;144593;1520;43;;;"INSERT INTO dados_estado_sp VALUES('2020-6-8', 144593, 1520, 43);"
09/06/2020;2020-6-9;150138;5545;334;;;"INSERT INTO dados_estado_sp VALUES('2020-6-9', 150138, 5545, 334);"
10/06/2020;2020-6-10;156316;6178;340;;;"INSERT INTO dados_estado_sp VALUES('2020-6-10', 156316, 6178, 340);"
11/06/2020;2020-6-11;162520;6204;283;;;"INSERT INTO dados_estado_sp VALUES('2020-6-11', 162520, 6204, 283);"
12/06/2020;2020-6-12;167900;5380;223;;;"INSERT INTO dados_estado_sp VALUES('2020-6-12', 167900, 5380, 223);"
13/06/2020;2020-6-13;172875;4975;213;;;"INSERT INTO dados_estado_sp VALUES('2020-6-13', 172875, 4975, 213);"
14/06/2020;2020-6-14;178202;5327;113;;;"INSERT INTO dados_estado_sp VALUES('2020-6-14', 178202, 5327, 113);"
15/06/2020;2020-6-15;181460;3258;73;;;"INSERT INTO dados_estado_sp VALUES('2020-6-15', 181460, 3258, 73);"
16/06/2020;2020-6-16;190285;8825;365;;;"INSERT INTO dados_estado_sp VALUES('2020-6-16', 190285, 8825, 365);"
17/06/2020;2020-6-17;191517;1232;389;;;"INSERT INTO dados_estado_sp VALUES('2020-6-17', 191517, 1232, 389);"
18/06/2020;2020-6-18;192628;1111;325;;;"INSERT INTO dados_estado_sp VALUES('2020-6-18', 192628, 1111, 325);"
19/06/2020;2020-6-19;211658;19030;386;;;"INSERT INTO dados_estado_sp VALUES('2020-6-19', 211658, 19030, 386);"
20/06/2020;2020-6-20;215793;4135;262;;;"INSERT INTO dados_estado_sp VALUES('2020-6-20', 215793, 4135, 262);"
21/06/2020;2020-6-21;219185;3392;94;;;"INSERT INTO dados_estado_sp VALUES('2020-6-21', 219185, 3392, 94);"
22/06/2020;2020-6-22;221973;2788;46;;;"INSERT INTO dados_estado_sp VALUES('2020-6-22', 221973, 2788, 46);"
23/06/2020;2020-6-23;229475;7502;434;;;"INSERT INTO dados_estado_sp VALUES('2020-6-23', 229475, 7502, 434);"
24/06/2020;2020-6-24;238822;9347;284;;;"INSERT INTO dados_estado_sp VALUES('2020-6-24', 238822, 9347, 284);"
25/06/2020;2020-6-25;248587;9765;407;;;"INSERT INTO dados_estado_sp VALUES('2020-6-25', 248587, 9765, 407);"
26/06/2020;2020-6-26;258508;9921;207;;;"INSERT INTO dados_estado_sp VALUES('2020-6-26', 258508, 9921, 207);"
27/06/2020;2020-6-27;265581;7073;297;;;"INSERT INTO dados_estado_sp VALUES('2020-6-27', 265581, 7073, 297);"
28/06/2020;2020-6-28;271737;6156;75;;;"INSERT INTO dados_estado_sp VALUES('2020-6-28', 271737, 6156, 75);"
29/06/2020;2020-6-29;275145;3408;60;;;"INSERT INTO dados_estado_sp VALUES('2020-6-29', 275145, 3408, 60);"
30/06/2020;2020-6-30;281380;6235;365;;;"INSERT INTO dados_estado_sp VALUES('2020-6-30', 281380, 6235, 365);"
01/07/2020;2020-7-1;289935;8555;267;;;"INSERT INTO dados_estado_sp VALUES('2020-7-1', 289935, 8555, 267);"
02/07/2020;2020-7-2;302179;12244;321;;;"INSERT INTO dados_estado_sp VALUES('2020-7-2', 302179, 12244, 321);"
03/07/2020;2020-7-3;310517;8338;343;;;"INSERT INTO dados_estado_sp VALUES('2020-7-3', 310517, 8338, 343);"
04/07/2020;2020-7-4;312530;2013;302;;;"INSERT INTO dados_estado_sp VALUES('2020-7-4', 312530, 2013, 302);"
05/07/2020;2020-7-5;320179;7649;82;;;"INSERT INTO dados_estado_sp VALUES('2020-7-5', 320179, 7649, 82);"
06/07/2020;2020-7-6;323070;2891;56;;;"INSERT INTO dados_estado_sp VALUES('2020-7-6', 323070, 2891, 56);"
07/07/2020;2020-7-7;332708;9638;341;;;"INSERT INTO dados_estado_sp VALUES('2020-7-7', 332708, 9638, 341);"
08/07/2020;2020-7-8;341365;8657;313;;;"INSERT INTO dados_estado_sp VALUES('2020-7-8', 341365, 8657, 313);"
09/07/2020;2020-7-9;349715;8350;330;;;"INSERT INTO dados_estado_sp VALUES('2020-7-9', 349715, 8350, 330);"
10/07/2020;2020-7-10;359110;9395;324;;;"INSERT INTO dados_estado_sp VALUES('2020-7-10', 359110, 9395, 324);"
11/07/2020;2020-7-11;366890;7780;260;;;"INSERT INTO dados_estado_sp VALUES('2020-7-11', 366890, 7780, 260);"
12/07/2020;2020-7-12;371997;5107;146;;;"INSERT INTO dados_estado_sp VALUES('2020-7-12', 371997, 5107, 146);"
13/07/2020;2020-7-13;374607;2610;59;;;"INSERT INTO dados_estado_sp VALUES('2020-7-13', 374607, 2610, 59);"
14/07/2020;2020-7-14;386607;12000;417;;;"INSERT INTO dados_estado_sp VALUES('2020-7-14', 386607, 12000, 417);"
15/07/2020;2020-7-15;393176;6569;316;;;"INSERT INTO dados_estado_sp VALUES('2020-7-15', 393176, 6569, 316);"
16/07/2020;2020-7-16;402048;8872;398;;;"INSERT INTO dados_estado_sp VALUES('2020-7-16', 402048, 8872, 398);"
17/07/2020;2020-7-17;407415;5367;339;;;"INSERT INTO dados_estado_sp VALUES('2020-7-17', 407415, 5367, 339);"
18/07/2020;2020-7-18;412027;4612;270;;;"INSERT INTO dados_estado_sp VALUES('2020-7-18', 412027, 4612, 270);"
19/07/2020;2020-7-19;415049;3022;85;;;"INSERT INTO dados_estado_sp VALUES('2020-7-19', 415049, 3022, 85);"
20/07/2020;2020-7-20;416434;1385;56;;;"INSERT INTO dados_estado_sp VALUES('2020-7-20', 416434, 1385, 56);"
21/07/2020;2020-7-21;422669;6235;383;;;"INSERT INTO dados_estado_sp VALUES('2020-7-21', 422669, 6235, 383);"
22/07/2020;2020-7-22;439446;16777;361;;;"INSERT INTO dados_estado_sp VALUES('2020-7-22', 439446, 16777, 361);"
23/07/2020;2020-7-23;452007;12561;362;;;"INSERT INTO dados_estado_sp VALUES('2020-7-23', 452007, 12561, 362);"
24/07/2020;2020-7-24;463218;11211;312;;;"INSERT INTO dados_estado_sp VALUES('2020-7-24', 463218, 11211, 312);"
25/07/2020;2020-7-25;479481;16263;311;;;"INSERT INTO dados_estado_sp VALUES('2020-7-25', 479481, 16263, 311);"
26/07/2020;2020-7-26;483982;4501;89;;;"INSERT INTO dados_estado_sp VALUES('2020-7-26', 483982, 4501, 89);"
27/07/2020;2020-7-27;487654;3672;70;;;"INSERT INTO dados_estado_sp VALUES('2020-7-27', 487654, 3672, 70);"
28/07/2020;2020-7-28;500301;12647;383;;;"INSERT INTO dados_estado_sp VALUES('2020-7-28', 500301, 12647, 383);"
29/07/2020;2020-7-29;514197;13896;330;;;"INSERT INTO dados_estado_sp VALUES('2020-7-29', 514197, 13896, 330);"
30/07/2020;2020-7-30;529006;14809;321;;;"INSERT INTO dados_estado_sp VALUES('2020-7-30', 529006, 14809, 321);"
31/07/2020;2020-7-31;542304;13298;287;;;"INSERT INTO dados_estado_sp VALUES('2020-7-31', 542304, 13298, 287);"
01/08/2020;2020-8-1;552318;10014;239;;;"INSERT INTO dados_estado_sp VALUES('2020-8-1', 552318, 10014, 239);"
