Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3513207;Interior;Cristais Paulista;Cristais Paulista, São Paulo, Brasil;1307;20;São Paulo;Brasil
3513306;Interior;Cruzália;Cruzália, São Paulo, Brasil;226;6;São Paulo;Brasil
3513405;Interior;Cruzeiro;Cruzeiro, São Paulo, Brasil;7231;249;São Paulo;Brasil
3513504;Interior;Cubatão;Cubatão, São Paulo, Brasil;17828;550;São Paulo;Brasil
3513603;Interior;Cunha;Cunha, São Paulo, Brasil;1194;45;São Paulo;Brasil
3513702;Interior;Descalvado;Descalvado, São Paulo, Brasil;9280;106;São Paulo;Brasil
3513801;RMSP (exceto capital);Diadema;Diadema, São Paulo, Brasil;31807;1580;São Paulo;Brasil
3513850;Interior;Dirce Reis;Dirce Reis, São Paulo, Brasil;329;6;São Paulo;Brasil
3513900;Interior;Divinolândia;Divinolândia, São Paulo, Brasil;2284;49;São Paulo;Brasil
3514007;Interior;Dobrada;Dobrada, São Paulo, Brasil;636;13;São Paulo;Brasil
3514106;Interior;Dois Córregos;Dois Córregos, São Paulo, Brasil;2092;46;São Paulo;Brasil
3514205;Interior;Dolcinópolis;Dolcinópolis, São Paulo, Brasil;472;9;São Paulo;Brasil
3514304;Interior;Dourado;Dourado, São Paulo, Brasil;2754;27;São Paulo;Brasil
3514403;Interior;Dracena;Dracena, São Paulo, Brasil;12148;305;São Paulo;Brasil
3514502;Interior;Duartina;Duartina, São Paulo, Brasil;2303;35;São Paulo;Brasil
3514601;Interior;Dumont;Dumont, São Paulo, Brasil;2784;30;São Paulo;Brasil
3514700;Interior;Echaporã;Echaporã, São Paulo, Brasil;821;29;São Paulo;Brasil
3514809;Interior;Eldorado;Eldorado, São Paulo, Brasil;3400;34;São Paulo;Brasil
3514908;Interior;Elias Fausto;Elias Fausto, São Paulo, Brasil;2791;42;São Paulo;Brasil
3514924;Interior;Elisiário;Elisiário, São Paulo, Brasil;634;13;São Paulo;Brasil
3514957;Interior;Embaúba;Embaúba, São Paulo, Brasil;132;11;São Paulo;Brasil
3515004;RMSP (exceto capital);Embu das Artes;Embu das Artes, São Paulo, Brasil;11301;756;São Paulo;Brasil
3515103;RMSP (exceto capital);Embu-Guaçu;Embu-Guaçu, São Paulo, Brasil;5947;242;São Paulo;Brasil
3515129;Interior;Emilianópolis;Emilianópolis, São Paulo, Brasil;921;10;São Paulo;Brasil
3515152;Interior;Engenheiro Coelho;Engenheiro Coelho, São Paulo, Brasil;4577;66;São Paulo;Brasil
3515186;Interior;Espírito Santo do Pinhal;Espírito Santo do Pinhal, São Paulo, Brasil;14616;142;São Paulo;Brasil
3515194;Interior;Espírito Santo do Turvo;Espírito Santo do Turvo, São Paulo, Brasil;818;11;São Paulo;Brasil
3515202;Interior;Estrela d'Oeste;Estrela d'Oeste, São Paulo, Brasil;3309;40;São Paulo;Brasil
3515301;Interior;Estrela do Norte;Estrela do Norte, São Paulo, Brasil;749;9;São Paulo;Brasil
3515350;Interior;Euclides da Cunha Paulista;Euclides da Cunha Paulista, São Paulo, Brasil;539;19;São Paulo;Brasil
3515400;Interior;Fartura;Fartura, São Paulo, Brasil;4469;68;São Paulo;Brasil
3515509;Interior;Fernandópolis;Fernandópolis, São Paulo, Brasil;19280;421;São Paulo;Brasil
3515608;Interior;Fernando Prestes;Fernando Prestes, São Paulo, Brasil;1441;15;São Paulo;Brasil
3515657;Interior;Fernão;Fernão, São Paulo, Brasil;770;5;São Paulo;Brasil
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;Ferraz de Vasconcelos, São Paulo, Brasil;10767;533;São Paulo;Brasil
3515806;Interior;Flora Rica;Flora Rica, São Paulo, Brasil;149;10;São Paulo;Brasil
3515905;Interior;Floreal;Floreal, São Paulo, Brasil;1019;9;São Paulo;Brasil
3516002;Interior;Flórida Paulista;Flórida Paulista, São Paulo, Brasil;3560;41;São Paulo;Brasil
3516101;Interior;Florínea;Florínea, São Paulo, Brasil;447;17;São Paulo;Brasil
3516200;Interior;Franca;Franca, São Paulo, Brasil;39283;1320;São Paulo;Brasil
3516309;RMSP (exceto capital);Francisco Morato;Francisco Morato, São Paulo, Brasil;15771;479;São Paulo;Brasil
3516408;RMSP (exceto capital);Franco da Rocha;Franco da Rocha, São Paulo, Brasil;18680;445;São Paulo;Brasil
3516507;Interior;Gabriel Monteiro;Gabriel Monteiro, São Paulo, Brasil;1246;8;São Paulo;Brasil
3516606;Interior;Gália;Gália, São Paulo, Brasil;1135;24;São Paulo;Brasil
3516705;Interior;Garça;Garça, São Paulo, Brasil;12503;173;São Paulo;Brasil
3516804;Interior;Gastão Vidigal;Gastão Vidigal, São Paulo, Brasil;650;18;São Paulo;Brasil
3516853;Interior;Gavião Peixoto;Gavião Peixoto, São Paulo, Brasil;2169;24;São Paulo;Brasil
3516903;Interior;General Salgado;General Salgado, São Paulo, Brasil;1595;50;São Paulo;Brasil
3517000;Interior;Getulina;Getulina, São Paulo, Brasil;1074;38;São Paulo;Brasil
3517109;Interior;Glicério;Glicério, São Paulo, Brasil;1407;23;São Paulo;Brasil
3517208;Interior;Guaiçara;Guaiçara, São Paulo, Brasil;1877;31;São Paulo;Brasil
3517307;Interior;Guaimbê;Guaimbê, São Paulo, Brasil;1080;9;São Paulo;Brasil
3517406;Interior;Guaíra;Guaíra, São Paulo, Brasil;9718;245;São Paulo;Brasil
3517505;Interior;Guapiaçu;Guapiaçu, São Paulo, Brasil;2484;100;São Paulo;Brasil
3517604;Interior;Guapiara;Guapiara, São Paulo, Brasil;3118;96;São Paulo;Brasil
3517703;Interior;Guará;Guará, São Paulo, Brasil;3846;118;São Paulo;Brasil
3517802;Interior;Guaraçaí;Guaraçaí, São Paulo, Brasil;1662;30;São Paulo;Brasil
3517901;Interior;Guaraci;Guaraci, São Paulo, Brasil;2648;32;São Paulo;Brasil
3518008;Interior;Guarani d'Oeste;Guarani d'Oeste, São Paulo, Brasil;933;9;São Paulo;Brasil
3518107;Interior;Guarantã;Guarantã, São Paulo, Brasil;322;25;São Paulo;Brasil
3518206;Interior;Guararapes;Guararapes, São Paulo, Brasil;10100;137;São Paulo;Brasil
3518305;RMSP (exceto capital);Guararema;Guararema, São Paulo, Brasil;2594;112;São Paulo;Brasil
3518404;Interior;Guaratinguetá;Guaratinguetá, São Paulo, Brasil;17388;393;São Paulo;Brasil
3518503;Interior;Guareí;Guareí, São Paulo, Brasil;4510;40;São Paulo;Brasil
3518602;Interior;Guariba;Guariba, São Paulo, Brasil;5397;131;São Paulo;Brasil
3518701;Interior;Guarujá;Guarujá, São Paulo, Brasil;32107;1562;São Paulo;Brasil
3518800;RMSP (exceto capital);Guarulhos;Guarulhos, São Paulo, Brasil;109579;5618;São Paulo;Brasil
3518859;Interior;Guatapará;Guatapará, São Paulo, Brasil;1246;28;São Paulo;Brasil
3518909;Interior;Guzolândia;Guzolândia, São Paulo, Brasil;898;34;São Paulo;Brasil
3519006;Interior;Herculândia;Herculândia, São Paulo, Brasil;1259;34;São Paulo;Brasil
3519055;Interior;Holambra;Holambra, São Paulo, Brasil;3903;23;São Paulo;Brasil
3519071;Interior;Hortolândia;Hortolândia, São Paulo, Brasil;40556;896;São Paulo;Brasil
3519105;Interior;Iacanga;Iacanga, São Paulo, Brasil;1926;34;São Paulo;Brasil
3519204;Interior;Iacri;Iacri, São Paulo, Brasil;1827;25;São Paulo;Brasil
3519253;Interior;Iaras;Iaras, São Paulo, Brasil;302;24;São Paulo;Brasil
3519303;Interior;Ibaté;Ibaté, São Paulo, Brasil;6264;114;São Paulo;Brasil
